0,1
CCCCCCCC[n+]1cc[nH]c1,octylimidazolium
Cn1cc[n+](CCCCCCCCCCP)c1,new molecule
CCCC(CC)CCCCn1cc[n+](CCC#N)c1,new molecule
Cn1cc[n+](CCCCCCCCO)c1,1-(8-hydroxyoctyl)-3-methyl-imidazolium
CCCCn1c(C)cc(C)[n+]1-c1cccc(F)c1,new molecule
CCCCCCC(C)CC[n+]1cccc(C#N)c1,new molecule
CCc1c(C)cc(C)c[n+]1CCCC(C)CC,new molecule
CCCC[P+](C)(CCCC)CCC(C)N,new molecule
CCCCCCC[N+]1(C)CCOCC1,new molecule
CCC[n+]1ccn(CC(C)C)c1,new molecule
CCC(CC)CCn1cc[n+](C)c1,new molecule
CCCCCCCC(CC)[n+]1ccn(CC)c1,new molecule
CCCC(C)CCCC[n+]1ccn(C)c1,new molecule
N#Cc1cc[n+](CCCCCCF)cc1,new molecule
CCC[N+]1(CCCCCCO)CCCCC1,new molecule
CCCC[N+](C)(CCCC)CCCCP,new molecule
CCCCC(C)C[N+]1(C)CCCC1,new molecule
CCCC[n+]1cnn(C)c1,new molecule
CCCCC(N)CCCC[N+]1(C)CCCCC1,new molecule
CCC(CC)C[n+]1ccn(C)c1C,new molecule
CCCCC(C)Cn1cc[n+](CCC)c1,new molecule
CCCCC(CC)C[n+]1ccn(CCC#N)c1,new molecule
CC(CC[n+]1ccc(N(C)C)cc1)CC(F)(F)F,new molecule
C#Cc1c(C)c[n+](CCCCC)c(CC)c1C,new molecule
CCCCCC[n+]1ccc(N(C)CC=O)c(C)c1,new molecule
CCCCC[NH+](C)CC,N-Ethyl-N-methyl-1-pentanamine
CCCCOCC[N+](C)(CC)CCC,new molecule
CCNCCC[n+]1cc(C)cc(C)c1CC,new molecule
CCCCCCCCn1cc[n+](CC[PH]#N)c1,new molecule
CCCc1cccc[n+]1CC(CC)CC(C)CC,new molecule
CCCC(C)[n+]1ccccc1C,new molecule
CCCC[N+](CCCC)(CCCC)CCCF,new molecule
CCc1cc(F)cc[n+]1C,new molecule
CNC(CCP)CCCC[N+]1(C)CCCCC1,new molecule
CCCCC[NH+](CCO)CCO,"2,2'-(Pentylimino)diethanol"
CCCCC[NH+](C)C,"N,N-Dimethyl-1-pentanaminium"
CCCC(C)[N+](C)(C)CCCCCC(C)N,new molecule
CCNCC[n+]1ccn(CCCC(C)P)c1,new molecule
CCCCc1cc[n+](CCCC)cc1,new molecule
CCCC1CC[N+](C)(CCC)C1,new molecule
CCCCCCCC[n+]1ccn(CC(N)(F)F)c1,new molecule
CCCc1ccc(CCP)[n+](CCC(O)F)c1,new molecule
C[n+]1cccc(C2CC2)c1,new molecule
CCCCC(CC)(CF)Cn1cc[n+](C)c1C=O,new molecule
CCCc1c[n+](CCCCCCPCC)ccc1C,new molecule
C=CC[NH+](CC)C(C)CC,N-Allyl-N-ethyl-2-butanamine
CCCCCC(C)C[NH3+],(2R)-2-Methyl-1-heptanamine
CCC(F)CC[NH3+],3-Fluoro-1-pentanamine
CCCCCCc1c(OCC)ccc[n+]1C,new molecule
CCCCCCC[N+]CCPC,new molecule
CCNC(CC)[n+]1cn(C)cc1C,new molecule
CCCc1c[n+](C)c(C)n1C(F)CP,new molecule
CCCc1c[n+](C)c(C)n1C(F)CP,new molecule
CCc1[nH+]c(N)cn1CC(C)CC,new molecule
CCCC(=C(F)CF)n1cc[n+](C)c1CC,new molecule
CNC(Cl)(CC(O)C(F)(F)F)[n+]1ccccc1,new molecule
CCCCCC([n+]1ccn(C)c1C)S(=O)(=O)OC,new molecule
CCCCc1c(C)c[n+](CCCC)n1C,new molecule
CCCCC(CCCC)C([NH3+])CCC,new molecule
CCC([PH3+])CCC(C)F,new molecule
CCC([NH3+])(CC)C1CC1,3-Cyclopropyl-3-pentanamine
CCCCC(C)C([P+]P)C(C)CC,new molecule
CCCCCCC(CC)C([NH3+])CCCC,new molecule
